"","symbol","logFC"
"1","HECW1",-3.06776953865329
"2","ABCB5",4.09627147450461
"3","SLC4A1",-6.08494636650666
"4","SOX8",3.44140777166692
"5","KRT33A",3.08633452926428
"6","UPP2",-3.57337446001255
"7","PRSS21",3.45002693375602
"8","SLC13A2",-3.1362509981573
"9","SELE",-3.97313353668314
"10","TFAP2B",-6.25783872917578
"11","HHATL",4.15484613581638
"12","SEMA3G",-3.7617929965845
"13","PRSS3",-3.32288516826268
"14","SYT7",-3.82053894174878
"15","SLC7A14",-3.44596703926691
"16","ACPP",-5.58583471634732
"17","CNTN1",-4.44320128129742
"18","MARCO",3.39589419233858
"19","FHL1",3.37712655839171
"20","INSRR",-6.93985613633142
"21","IBSP",3.50214496625771
"22","STAP1",-3.1435745105589
"23","CASR",-4.73341042440364
"24","VCAN",3.01643491071373
"25","C6",3.22743235952715
"26","CDH10",-3.8378518342205
"27","ADRB1",-3.65314896773241
"28","MAGEC2",5.43824792903393
"29","ROS1",-4.91726684746936
"30","LMO3",-3.74150221762602
"31","PTGER3",-4.22865506755944
"32","COL23A1",3.20547499659111
"33","MCM10",3.08917506218754
"34","SNAP91",3.0926057427101
"35","COL17A1",3.67787970245835
"36","SLC9A3",-4.65580344990382
"37","MPPED2",-3.81755199291928
"38","KIF26A",-3.7908982783119
"39","PAGE1",3.48753887568507
"40","PITX1",3.70969711926981
"41","ADGRF5",-3.06353586997436
"42","ADAM7",3.19604097502704
"43","SPTB",-3.26767325700282
"44","FGF10",-4.50903253814412
"45","CAMK2A",-4.80937285648977
"46","SLC12A3",-5.42480446898273
"47","TRPM5",-3.59577435945216
"48","MYO3B",-4.13752590034534
"49","CDH19",-3.86376063084149
"50","SLC6A15",3.48635117970355
"51","DHRS9",3.22663745960055
"52","CD5L",4.09927523375752
"53","SLC12A1",-7.13772153585196
"54","WNT8B",-4.48190177484318
"55","ATP12A",-7.94587220233708
"56","NMRK2",3.47875419882807
"57","SPAG6",3.30346139024211
"58","ADCY2",3.46388803585527
"59","CDH17",4.06074810760171
"60","AFM",-7.68545507428631
"61","PTPRH",3.28467457218661
"62","SCTR",-3.10606423748942
"63","RDH8",-5.97648704919045
"64","ARG2",-3.0026906838488
"65","CACNA1S",-3.86514762268781
"66","IL12RB2",3.6911207784519
"67","GRHL2",-3.10472260588353
"68","GCKR",3.48287693511421
"69","MECOM",-3.0775316706816
"70","AQP6",-6.3336240330069
"71","HBQ1",4.25091355531657
"72","FER1L4",3.93960033645738
"73","F11",-5.36749369015807
"74","NOS1",-5.54121360385373
"75","BIRC5",3.03745765627012
"76","RGS1",3.00566682145248
"77","DLL3",4.18541179295054
"78","SLC26A4",-5.23561263714528
"79","APOH",-3.37071423402521
"80","CPA1",-3.29370906556197
"81","SLC7A8",-3.52207896612975
"82","TBL1Y",-3.91421028465462
"83","TBX15",4.67906567157572
"84","TREM2",4.63925453068492
"85","AMELY",-3.64677885654313
"86","SUSD2",-3.70623941569525
"87","UPB1",-4.15646165121753
"88","PLA2G3",-3.46870862738963
"89","TIMP3",-3.34520793291665
"90","KCNK10",-3.62475375644024
"91","CPNE6",-8.27998431112419
"92","MYBL2",3.73072129166456
"93","BIRC7",4.99645430524965
"94","CHRNA4",-5.23256827256775
"95","EEF1A2",4.74459802375096
"96","HAO1",-4.70593593772223
"97","ASIP",3.2998620310896
"98","CST4",4.20108156782451
"99","PAGE4",-4.05988795757392
"100","FGF9",-3.26006388910723
"101","ZP2",-3.49076752502461
"102","SLC6A2",-3.80207887460385
"103","TRPA1",3.1592665091034
"104","CALB1",-8.32916423160212
"105","SFRP1",-5.70874031134617
"106","LHB",3.01998681419408
"107","TUBB4A",3.15680419992949
"108","TNNT1",4.59765454752028
"109","SLC1A6",4.90415938283731
"110","SIGLEC8",5.13105283435166
"111","HAMP",5.12973477134416
"112","TFPI2",3.95090693973646
"113","ATP6V0A4",-4.10263681728287
"114","HYAL4",-3.02475530372304
"115","DNM1",3.03475151771857
"116","CA9",5.57658283503601
"117","TYRP1",-4.38988077843476
"118","DNTT",3.65344757474594
"119","PKD2L1",4.82383923435698
"120","KRT32",3.13767157180875
"121","GABRA4",-5.00122242436085
"122","ODAM",-3.72849034950029
"123","NEIL3",4.07013281148537
"124","CLNK",-3.55686561319297
"125","HGFAC",3.77913424652846
"126","CCKBR",3.14524973920891
"127","FOLR3",-3.53182417817367
"128","CALCA",-6.95949144762946
"129","DAO",-3.10660964402281
"130","CYP27B1",-3.07347592499372
"131","MYF6",-3.95570521458472
"132","PRMT8",-3.32185120524952
"133","KCNA1",-3.49411995943485
"134","RERGL",-4.36997378303165
"135","AICDA",3.37757961802658
"136","BMP5",-3.55444447529482
"137","EYA4",-4.25180967855687
"138","SLC17A2",3.16688820499715
"139","CLIC5",-5.02339935685252
"140","MEP1A",4.58688499682366
"141","C7",-3.73858433448405
"142","SLC4A9",-5.12753937409249
"143","FGF1",-4.41081108092177
"144","UNC5A",4.08328660503077
"145","KNG1",-6.17464787582097
"146","HRG",-6.04948552263058
"147","CLDN16",-4.19632364305321
"148","RBP2",-4.10000817874409
"149","CENPA",3.17895008177471
"150","REG1A",3.23241150699656
"151","IGFBP5",-3.41463403697374
"152","SLC5A7",-3.45972008580556
"153","ATP6V1B1",-4.44285007901557
"154","NPHS2",-7.29134674055769
"155","AGMAT",-3.34906527903508
"156","HAO2",-3.04414822285795
"157","NT5C1A",-5.05727455845602
"158","HPCAL4",-4.35760202797597
"159","ST6GALNAC5",3.51184171119652
"160","PLA2G2D",3.22249535786007
"161","PLPPR5",6.49762552984942
"162","PROX1",-4.87605558213843
"163","SLC8A2",3.02700249339511
"164","TNNT2",-4.52276934622428
"165","CNR1",3.29407573367128
"166","TCF21",-3.99212753359498
"167","CASQ2",-3.01003378190558
"168","OLFM3",-7.26296741897933
"169","TRPM6",-3.79133631365919
"170","NR4A3",-3.30452566976288
"171","ONECUT2",3.524407218564
"172","ESRRB",-5.97646254296271
"173","TEK",-3.99070226818976
"174","TEX11",3.35459485409109
"175","LYZL1",3.28774237720567
"176","GJA3",-4.91481132979584
"177","SLITRK3",-3.93859390654559
"178","HPCA",3.07765500505496
"179","TMIGD3",3.47023332124614
"180","XPNPEP2",-5.76687616805847
"181","PAEP",6.7804790165094
"182","PLG",-7.20078697589147
"183","HS3ST2",6.72301439650243
"184","AKR1D1",4.07160604817224
"185","HOXC13",3.22034758788096
"186","HJURP",3.21078033542356
"187","IL13RA2",-4.18850549856025
"188","NRK",-3.13658581088987
"189","TNFAIP6",5.43196850621127
"190","PI3",3.37192740513758
"191","KCNS1",3.41380916993472
"192","SEMG2",-6.6915828954251
"193","GDAP1L1",3.87450224458423
"194","SEMG1",-3.48129804565509
"195","PCK1",-3.37795760384565
"196","XG",-3.01863903548568
"197","CXCL6",3.0959472833808
"198","EREG",4.37589284605911
"199","MT1G",-6.83252021530466
"200","TNFSF9",4.01190728169596
"201","CD70",5.309381189846
"202","C3",3.43779305912353
"203","NKX2-4",7.37007168321526
"204","NKX2-2",3.66489192533854
"205","CST11",-3.14148640108693
"206","LRRN4",3.04203437545998
"207","TMEM74B",3.37651133167758
"208","PROZ",-4.95716631474222
"209","KIRREL2",-3.31189763193576
"210","FLRT1",-4.62962277251318
"211","WNK4",-4.36085180290671
"212","PRKCG",3.77774877007348
"213","DACH2",-3.84405794575651
"214","HSPA2",-3.58740716973033
"215","PTPRB",-3.00365577644049
"216","TRPV5",-5.48080590857798
"217","PKMYT1",3.37522438897547
"218","RASL11B",-5.47620063396826
"219","VGF",3.37626033054204
"220","PODXL",-4.15677913684045
"221","ATP1B2",-3.63600373056509
"222","ART1",-3.26249325647397
"223","SYT5",3.43747367240597
"224","TNNI3",6.24578377820643
"225","LDLR",-3.19131504802951
"226","APOC1",6.43899909713555
"227","ATP8B3",3.62729493025501
"228","EPO",-3.027113862758
"229","SULT4A1",3.76701483561608
"230","MNX1",4.35160406469278
"231","ASS1",-3.21908613016129
"232","PRDM12",3.02658100116544
"233","DUSP9",-6.30214541635065
"234","SLC7A10",-3.11496873285742
"235","SLC34A1",-5.26174051963257
"236","G6PC",-5.29294661640089
"237","KRT33B",3.49346853576273
"238","TOP2A",3.26616081739293
